kommun_kod,kommun_namn,population
0114,Upplands Väsby,50295
0115,Vallentuna,35090
0117,Österåker,49777
0120,Värmdö,46590
0123,Järfälla,88526
0125,Ekerö,28864
0126,Huddinge,114173
0127,Botkyrka,95746
0128,Salem,17506
0136,Haninge,100767
0138,Tyresö,49097
0139,Upplands-Bro,32811
0140,Nykvarn,12323
0160,Täby,77755
0162,Danderyd,32440
0163,Sollentuna,77615
0180,Stockholm,995600
0181,Södertälje,102914
0182,Nacka,111893
0183,Sundbyberg,56252
0184,Solna,85974
0186,Lidingö,48336
0187,Vaxholm,11794
0188,Norrtälje,66411
0191,Sigtuna,52678
0192,Nynäshamn,30546
0305,Håbo,22947
0319,Älvkarleby,9546
0330,Knivsta,21073
0331,Heby,14352
0360,Tierp,21118
0380,Uppsala,247947
0381,Enköping,48551
0382,Östhammar,22164
0428,Vingåker,8737
0461,Gnesta,11449
0480,Nyköping,58333
0481,Oxelösund,12029
0482,Flen,15405
0483,Katrineholm,34238
0484,Eskilstuna,107346
0486,Strängnäs,39283
0488,Trosa,14903
0509,Ödeshög,5253
0512,Ydre,3627
0513,Kinda,9969
0560,Boxholm,5514
0561,Åtvidaberg,11451
0562,Finspång,21647
0563,Valdemarsvik,7546
0580,Linköping,168135
0581,Norrköping,145031
0582,Söderköping,14809
0583,Motala,43572
0584,Vadstena,7483
0586,Mjölby,28686
0604,Aneby,6793
0617,Gnosjö,9152
0642,Mullsjö,7583
0643,Habo,13422
0662,Gislaved,28906
0665,Vaggeryd,14833
0680,Jönköping,147526
0682,Nässjö,31615
0683,Värnamo,34521
0684,Sävsjö,11558
0685,Vetlanda,27544
0686,Eksjö,17762
0687,Tranås,18642
0760,Uppvidinge,9082
0761,Lessebo,8286
0763,Tingsryd,11980
0764,Alvesta,19896
0765,Älmhult,17670
0767,Markaryd,9964
0780,Växjö,98293
0781,Ljungby,28274
0821,Högsby,5335
0834,Torsås,6984
0840,Mörbylånga,16178
0860,Hultsfred,13679
0861,Mönsterås,13073
0862,Emmaboda,9037
0880,Kalmar,72744
0881,Nybro,19985
0882,Oskarshamn,26939
0883,Västervik,36398
0884,Vimmerby,15384
0885,Borgholm,10672
0980,Gotland,61000
1060,Olofström,13013
1080,Karlskrona,66336
1081,Ronneby,28775
1082,Karlshamn,31807
1083,Sölvesborg,17434
1214,Svalöv,14523
1230,Staffanstorp,27280
1231,Burlöv,20042
1233,Vellinge,37871
1256,Östra Göinge,14019
1257,Örkelljunga,10310
1260,Bjuv,15971
1261,Kävlinge,32526
1262,Lomma,24656
1263,Svedala,23538
1264,Skurup,17063
1265,Sjöbo,19357
1266,Hörby,15536
1267,Höör,17487
1270,Tomelilla,13630
1272,Bromölla,12498
1273,Osby,13000
1275,Perstorp,7239
1276,Klippan,17734
1277,Åstorp,16484
1278,Båstad,15984
1280,Malmö,365619
1281,Lund,131671
1282,Landskrona,47287
1283,Helsingborg,152067
1284,Höganäs,28383
1285,Eslöv,34878
1286,Ystad,32162
1287,Trelleborg,47166
1290,Kristianstad,86376
1291,Simrishamn,18931
1292,Ängelholm,45040
1293,Hässleholm,52175
1315,Hylte,10228
1380,Halmstad,106124
1381,Laholm,26585
1382,Falkenberg,47340
1383,Varberg,69017
1384,Kungsbacka,85637
1401,Härryda,39945
1402,Partille,41106
1407,Öckerö,12777
1415,Stenungsund,27819
1419,Tjörn,16101
1421,Orust,15348
1427,Sotenäs,9086
1430,Munkedal,10360
1435,Tanum,12821
1438,Dals-Ed,4598
1439,Färgelanda,6373
1440,Ale,32519
1441,Lerum,43552
1442,Vårgårda,12467
1443,Bollebygd,9811
1444,Grästorp,5564
1445,Essunga,5600
1446,Karlsborg,7019
1447,Gullspång,5055
1452,Tranemo,11851
1460,Bengtsfors,9066
1461,Mellerud,9075
1462,Lilla Edet,14435
1463,Mark,35197
1465,Svenljunga,10719
1466,Herrljunga,9474
1470,Vara,16040
1471,Götene,13298
1472,Tibro,11351
